District_clean,State_clean,fiscal_year,penta1,penta2,penta3,penta1_private,penta1_urban
ADILABAD,TELANGANA,2017-2018,13399.0,13399.0,13399.0,0.0,2679.0
ADILABAD,TELANGANA,2018-2019,11926.0,11926.0,11926.0,0.0,1952.0
ADILABAD,TELANGANA,2019-2020,13123.0,12977.0,12846.0,1067.0,3027.0
AGAR MALWA,MADHYA PRADESH,2017-2018,12269.0,12269.0,12269.0,0.0,319.0
AGAR MALWA,MADHYA PRADESH,2018-2019,13071.0,12943.0,12815.0,0.0,360.0
AGAR MALWA,MADHYA PRADESH,2019-2020,12684.0,12684.0,12684.0,0.0,523.0
AGRA,UTTAR PRADESH,2017-2018,111956.0,110398.0,110157.0,0.0,38775.0
AGRA,UTTAR PRADESH,2018-2019,100651.0,96402.0,96402.0,0.0,32983.0
AGRA,UTTAR PRADESH,2019-2020,114555.0,112190.0,112190.0,0.0,39173.0
AHMADNAGAR,MAHARASHTRA,2017-2018,79529.0,78618.0,78618.0,300.0,14477.0
AHMADNAGAR,MAHARASHTRA,2018-2019,74108.0,73278.0,73278.0,0.0,11397.0
AHMADNAGAR,MAHARASHTRA,2019-2020,74046.0,72798.0,72798.0,0.0,10149.0
AHMEDABAD,GUJARAT,2017-2018,148167.0,141954.0,140280.0,20486.0,105278.0
AHMEDABAD,GUJARAT,2018-2019,142383.0,136931.0,136931.0,1698.0,94421.0
AHMEDABAD,GUJARAT,2019-2020,145668.0,138598.0,138598.0,924.0,92057.0
AIZAWL EAST,MIZORAM,2017-2018,4549.0,4514.0,4393.0,1004.0,3167.0
AIZAWL EAST,MIZORAM,2018-2019,4379.0,4379.0,4240.0,865.0,3100.0
AIZAWL EAST,MIZORAM,2019-2020,4797.0,4668.0,4630.0,942.0,3494.0
AIZAWL WEST,MIZORAM,2017-2018,2637.0,2563.0,2563.0,38.0,1964.0
AIZAWL WEST,MIZORAM,2018-2019,2752.0,2729.0,2729.0,25.0,2056.0
AIZAWL WEST,MIZORAM,2019-2020,2846.0,2846.0,2846.0,0.0,2183.0
AJMER,RAJASTHAN,2017-2018,53538.0,51827.0,51259.0,364.0,14245.0
AJMER,RAJASTHAN,2018-2019,57326.0,54529.0,53784.0,409.0,15886.0
AJMER,RAJASTHAN,2019-2020,52489.0,51022.0,50160.0,541.0,14871.0
AKOLA,MAHARASHTRA,2017-2018,32799.0,32330.0,32319.0,912.0,10963.0
AKOLA,MAHARASHTRA,2018-2019,31385.0,30239.0,30239.0,903.0,9579.0
AKOLA,MAHARASHTRA,2019-2020,30948.0,29960.0,29942.0,928.0,9457.0
ALAPPUZHA,KERALA,2017-2018,24611.0,24611.0,24611.0,1906.0,2100.0
ALAPPUZHA,KERALA,2018-2019,23258.0,23127.0,22691.0,1596.0,2071.0
ALAPPUZHA,KERALA,2019-2020,22656.0,22656.0,22625.0,1393.0,2024.0
ALIGARH,UTTAR PRADESH,2017-2018,94031.0,87335.0,87335.0,0.0,14810.0
ALIGARH,UTTAR PRADESH,2018-2019,82873.0,76590.0,75029.0,17.0,14404.0
ALIGARH,UTTAR PRADESH,2019-2020,95963.0,93240.0,93240.0,213.0,16645.0
ALIPURDUAR,WEST BENGAL,2017-2018,20944.0,20943.0,20529.0,12.0,237.0
ALIPURDUAR,WEST BENGAL,2018-2019,21150.0,20885.0,20885.0,17.0,262.0
ALIPURDUAR,WEST BENGAL,2019-2020,21647.0,21548.0,21523.0,9.0,328.0
ALIRAJPUR,MADHYA PRADESH,2017-2018,19798.0,18254.0,17151.0,0.0,0.0
ALIRAJPUR,MADHYA PRADESH,2018-2019,20166.0,18681.0,18131.0,0.0,0.0
ALIRAJPUR,MADHYA PRADESH,2019-2020,21841.0,21023.0,20112.0,0.0,0.0
ALLAHABAD,UTTAR PRADESH,2017-2018,145081.0,139201.0,139201.0,0.0,33447.0
ALLAHABAD,UTTAR PRADESH,2018-2019,141017.0,131304.0,131304.0,0.0,30097.0
ALLAHABAD,UTTAR PRADESH,2019-2020,151486.0,144352.0,144352.0,2426.0,31039.0
ALMORA,UTTARAKHAND,2017-2018,7684.0,7684.0,7684.0,22.0,0.0
ALMORA,UTTARAKHAND,2018-2019,7274.0,7274.0,7274.0,17.0,0.0
ALMORA,UTTARAKHAND,2019-2020,6921.0,6921.0,6921.0,30.0,0.0
